Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Team,2024-07-10,19:00 (22:30),First qualifying round,Wed,Home,W,4,2
89,22,Giorgio Scalvini,it ITA,DF,20.0,1.0,0.0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Atalanta,,,,,,,,
90,23,Ben Godfrey,eng ENG,DF,26.0,2.0,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta,,,,,,,,
91,24,Federico Cassa,it ITA,MF,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,Atalanta,,,,,,,,
92,25,Pietro Comi,it ITA,DF,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,Atalanta,,,,,,,,
93,26,Tommaso Del Lungo,it ITA,DF,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,Atalanta,,,,,,,,
94,27,Alberto Manzoni,it ITA,MF,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,Atalanta,,,,,,,,
95,28,Francesco Rossi,it ITA,GK,33.0,0.0,0.0,,,,,,,,,,,,,,,,,,Atalanta,,,,,,,,
96,29,Ibrahim Sulemana,gh GHA,MF,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,Atalanta,,,,,,,,
97,30,Vanja Vlahović,rs SRB,MF,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,Atalanta,,,,,,,,
98,0,Jan Oblak,si SVN,GK,31.0,10.0,10.0,930.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid,,,,,,,,
99,1,Julián Álvarez,ar ARG,"FW,MF",24.0,10.0,10.0,784.0,8.7,7.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,2.4,2.4,1.6,4.0,23.0,25.0,54.0,Atletico Madrid,,,,,,,,
100,2,Rodrigo De Paul,ar ARG,MF,30.0,10.0,10.0,743.0,8.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.1,1.4,26.0,74.0,31.0,Atletico Madrid,,,,,,,,
101,3,Antoine Griezmann,fr FRA,"FW,MF",33.0,10.0,9.0,728.0,8.1,6.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,3.9,3.9,1.6,5.6,18.0,37.0,59.0,Atletico Madrid,,,,,,,,
102,4,José María Giménez,uy URU,DF,29.0,8.0,8.0,750.0,8.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.0,0.4,3.0,26.0,1.0,Atletico Madrid,,,,,,,,
103,5,Marcos Llorente,es ESP,"DF,MF",29.0,8.0,8.0,692.0,7.7,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,2.3,2.7,19.0,33.0,51.0,Atletico Madrid,,,,,,,,
104,6,Clément Lenglet,fr FRA,DF,29.0,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,1.0,19.0,1.0,Atletico Madrid,,,,,,,,
105,7,Giuliano Simeone,ar ARG,"MF,DF",21.0,9.0,7.0,567.0,6.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,1.4,2.1,18.0,16.0,44.0,Atletico Madrid,,,,,,,,
106,8,Javi Galán,es ESP,DF,29.0,6.0,6.0,450.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,13.0,19.0,30.0,Atletico Madrid,,,,,,,,
107,9,Pablo Barrios,es ESP,MF,21.0,6.0,6.0,431.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.2,0.3,3.0,32.0,1.0,Atletico Madrid,,,,,,,,
108,10,Conor Gallagher,eng ENG,MF,24.0,9.0,4.0,469.0,5.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,3.0,13.0,15.0,Atletico Madrid,,,,,,,,
109,11,Samuel Lino,br BRA,"MF,DF",24.0,10.0,4.0,412.0,4.6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.3,2.4,28.0,19.0,42.0,Atletico Madrid,,,,,,,,
